SITC.gt
Iteration 10 New: [0, 0, 560, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 20 New: [0, 0, 566, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 30 New: [0, 0, 572, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 40 New: [0, 0, 576, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 50 New: [0, 0, 584, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 60 New: [0, 0, 586, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 70 New: [0, 0, 586, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 80 New: [0, 0, 592, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 90 New: [0, 0, 596, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 100 New: [0, 0, 598, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
Iteration 110 New: [0, 0, 596, 149, 127, 62, 47, 6, 3, 1, 0, 3, 2, 3, 0, 0, 2, 0, 3] diff:[0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
